DealerId,DealerName,DealerAddress,PhoneNumber,ZipCode,City,Country
1,Alexander Motors Inc.,302 North Commercial Street,303-765-1492,WA98409,"Seattle             ","USA                 "
2,Becker Autos & Trailers,3008 US 24Hwy Tacoma,785-831-4160,WA98499,"Seattle             ","USA                 "
3,Beloit Auto and Truck Plaza Ford,3133 US 24 Tacoma,785-738-3573,WA98409,"Seattle             ","USA                 "
4,Tripe Motor Company,"814 Highway 183, Seattle",308-920-5030,WA98409,"Seattle             ","USA                 "
5,Paul Spady Motors,"2850 Osborne Drive East, Seattle",402-519-4936,WA98409,"Seattle             ","USA                 "
6,Kenesaw Motor Company,"119 West Maple Street, Tacoma",402-752-0040,WA98371,"Seattle             ","USA                 "
7,Jerry Spady Chevrolet GMC Cadillac,"800 River RD, Puyallup",402-436-4000,WA98371,"Seattle             ","USA                 "
8,JJ Auto Sales,"309 N WAshington St., Sumner",785-203-8002,WA98390,"Seattle             ","USA                 "
9,Kass Ford Sales,"322 Lincoln Ave., Auburn",402-971-0520,WA98002,"Seattle             ","USA                 "
10,Lee Jansseen Motor,"1221 W Hwy 6, Auburn",877-671-9158,WA98002,"Seattle             ","USA                 "
11,Pacific Fleet Sales,"24432 Pacific Hwy S,Kent",253-258-0991,WA98032,"Seattle             ","USA                 "
12,Broadwalk Motors,"1344 17th ST SE, Auburn",253-289-5084,WA98002,"Seattle             ","USA                 "
13,Rainier Truck and Trailer,"24225 Pacific Highway South,Des Moines",253-642-0566,WA98198,"Seattle             ","USA                 "
14,Honda of Sumner,"16302 Auto Ln, Sumner",253-321-5313,WA98390,"Seattle             ","USA                 "
15,Sunset Ford,6616 166th Ave E Sumner,253-863-2211,WA98390,"Seattle             ","USA                 "
16,Supreme Motors,"224 Washington Ave N, Kent",253-236-9125,WA98032,"Seattle             ","USA                 "
17,Hertz Car Sales Seattle,"14500 1ST Ave S, Burien",206-701-7411,WA98168,"Seattle             ","USA                 "
18,Legend Auto Sales Inc,"14650 1st Ave South, Burien",206-686-8266,WA98168,"Seattle             ","USA                 "
19,"ALL Pro Auto Sales, LLC","22441 Pacific Hwy S, Des Moines",253-765-5440,WA98198,"Seattle             ","USA                 "
20,Supreme Motors,"224 Washington Ave N, Kent",253-236-9125,WA98032,"Seattle             ","USA                 "
21,Alexander Motors Inc.,302 North Commercial Street,303-765-1492,WA98409,"Seattle             ","USA                 "
22,Becker Autos & Trailers,3008 US 24Hwy Tacoma,785-831-4160,WA98499,"Seattle             ","USA                 "
23,Beloit Auto and Truck Plaza Ford,3133 US 24 Tacoma,785-738-3573,WA98409,"Seattle             ","USA                 "
24,Tripe Motor Company,"814 Highway 183, Seattle",308-920-5030,WA98409,"Seattle             ","USA                 "
26,Kenesaw Motor Company,"119 West Maple Street, Tacoma",402-752-0040,WA98371,"Seattle             ","USA                 "
27,Jerry Spady Chevrolet GMC Cadillac,"800 River RD, Puyallup",402-436-4000,WA98371,"Seattle             ","USA                 "
28,JJ Auto Sales,"309 N WAshington St., Sumner",785-203-8002,WA98390,"Seattle             ","USA                 "
29,Kass Ford Sales,"322 Lincoln Ave., Auburn",402-971-0520,WA98002,"Seattle             ","USA                 "
30,Lee Jansseen Motor,"1221 W Hwy 6, Auburn",877-671-9158,WA98002,"Seattle             ","USA                 "
31,Pacific Fleet Sales,"24432 Pacific Hwy S,Kent",253-258-0991,WA98032,"Seattle             ","USA                 "
32,Broadwalk Motors,"1344 17th ST SE, Auburn",253-289-5084,WA98002,"Seattle             ","USA                 "
33,Rainier Truck and Trailer,"24225 Pacific Highway South,Des Moines",253-642-0566,WA98198,"Seattle             ","USA                 "
34,Honda of Sumner,"16302 Auto Ln, Sumner",253-321-5313,WA98390,"Seattle             ","USA                 "
35,Sunset Ford,6616 166th Ave E Sumner,253-863-2211,WA98390,"Seattle             ","USA                 "
36,Supreme Motors,"224 Washington Ave N, Kent",253-236-9125,WA98032,"Seattle             ","USA                 "
37,Hertz Car Sales Seattle,"14500 1ST Ave S, Burien",206-701-7411,WA98168,"Seattle             ","USA                 "
38,Legend Auto Sales Inc,"14650 1st Ave South, Burien",206-686-8266,WA98168,"Seattle             ","USA                 "
39,"ALL Pro Auto Sales, LLC","22441 Pacific Hwy S, Des Moines",253-765-5440,WA98198,"Seattle             ","USA                 "
40,Supreme Motors,"224 Washington Ave N, Kent",253-236-9125,WA98032,"Seattle             ","USA                 "
